isomer,G,E
5,0.33154150888863904,0.39989575163725616
5,5.1586284033199545e-05,1.2718231732088097e-05
5,6.715493990959277e-05,1.5998729486915152e-06
5,8.247472250987393e-05,1.7664318715658646e-06
5,0.23597886844061436,0.12631372328656135
5,8.212602505565677e-05,9.95147081989004e-06
5,1.0799589318241635e-07,1.7268142437843462e-08
5,8.679589956357205e-10,1.1745871286315592e-10
5,4.709480036917957e-05,1.3085825831447598e-05
5,0.004420964407499783,0.00014268056828738523
5,2.0300356604941773e-08,7.19444461711494e-09
5,1.2862035546922974e-07,8.303922677058609e-09
5,0.00155082303760232,0.00021219367189158762
5,0.38781099752178766,0.4703499249209596
5,5.732160037675787e-08,2.3345967436352535e-08
5,0.03836608582581474,0.0030465478519042894